Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,7241.25,7258.75,7183.839844,7184.959961,2076990000,7184.959961
2009-12-30,7252.169922,7252.169922,7209.430176,7241.240234,2277300000,7241.240234
2009-12-29,7261.299805,7288.22998,7250.509766,7252.189941,2491020000,7252.189941
2009-12-28,7255.00,7282.990234,7240.160156,7261.240234,2716400000,7261.240234
2009-12-24,7217.049805,7256.870117,7217.049805,7255.00,1267710000,7255.00
2009-12-23,7184.180176,7226.72998,7184.180176,7217.200195,3166870000,7217.200195
2009-12-22,7147.180176,7192.359863,7147.180176,7184.180176,3641130000,7184.180176
2009-12-21,7086.100098,7171.640137,7086.100098,7147.149902,3977340000,7147.149902
2009-12-18,7063.890137,7106.799805,7029.169922,7086.189941,6325890000,7086.189941
2009-12-17,7180.75,7180.75,7056.759766,7063.75,7615070400,7063.75
2009-12-16,7141.439941,7221.709961,7141.439941,7180.77002,4829820000,7180.77002
2009-12-15,7186.459961,7186.459961,7125.490234,7141.439941,5045100000,7141.439941
2009-12-14,7125.350098,7190.47998,7125.350098,7186.490234,4548490000,7186.490234
2009-12-11,7104.509766,7139.200195,7092.700195,7125.120117,3791090000,7125.120117
2009-12-10,7067.620117,7129.600098,7067.620117,7104.50,3996490000,7104.50
2009-12-09,7056.47998,7074.649902,7002.470215,7067.620117,4115410000,7067.620117
2009-12-08,7155.720215,7155.720215,7037.640137,7056.259766,4748030000,7056.259766
2009-12-07,7182.660156,7210.029785,7144.72998,7155.72998,4103360000,7155.72998
2009-12-04,7157.080078,7285.669922,7124.899902,7182.709961,000,7182.709961
2009-12-03,7222.669922,7278.390137,7150.50,7157.049805,4810030000,7157.049805
2009-12-02,7212.080078,7264.819824,7197.060059,7222.419922,3941340000,7222.419922
2009-12-01,7092.359863,7234.370117,7092.359863,7212.080078,4249310000,7212.080078
2009-11-30,7070.089844,7109.689941,7030.720215,7092.359863,3895520000,7092.359863
2009-11-27,7232.120117,7232.120117,7009.430176,7070.089844,2362910000,7070.089844
2009-11-25,7170.27002,7234.72998,7170.27002,7232.120117,3036350000,7232.120117
2009-11-24,7186.330078,7186.330078,7121.049805,7170.259766,3700820000,7170.259766
2009-11-23,7084.470215,7242.459961,7084.470215,7186.330078,3827920000,7186.330078
2009-11-20,7117.629883,7117.629883,7048.50,7084.470215,3751230000,7084.470215
2009-11-19,7226.680176,7226.680176,7066.899902,7117.640137,4178030000,7117.640137
2009-11-18,7234.060059,7249.77002,7189.060059,7226.709961,4293340000,7226.709961
2009-11-17,7237.100098,7237.100098,7171.259766,7234.060059,3824070000,7234.060059
2009-11-16,7119.899902,7266.509766,7119.899902,7237.100098,4565850000,7237.100098
2009-11-13,7063.049805,7148.47998,7054.450195,7119.890137,3792610000,7119.890137
